Time µs,Current.Ia,Current.Ib,Current.Ic,Current.In,Voltage.Va,Voltage.Vb,Voltage.Vc
1163462400000000000,-70.9680023193359,-2265.9365234375,2316.955078125,0.0,252.975692749023,-10143.3837890625,10426.1572265625
1163462400000130048,41.3979988098145,-2307.56787109375,2216.73046875,0.0,785.096984863281,-10467.76171875,10181.041015625
1163462400000260096,165.591995239258,-2337.3046875,2116.505859375,5.91091012954712,1256.15515136719,-10783.373046875,9830.876953125
1163462400000389888,283.872009277344,-2361.09399414063,2004.49035644531,5.91091012954712,1727.21337890625,-11037.615234375,9480.7119140625
1163462400000519936,413.980010986328,-2384.88330078125,1892.47473144531,0.0,2198.271484375,-11221.720703125,9086.7763671875
1163462400000651008,550.002014160156,-2402.72534179688,1768.66796875,5.91091012954712,2686.7763671875,-11265.5556640625,8692.8408203125
1163462400000781056,686.023986816406,-2420.5673828125,1656.65234375,0.0,3218.89770507813,-11291.857421875,8298.9052734375
1163462400000911104,816.132019042969,-2444.35668945313,1532.84558105469,5.91091012954712,3759.7421875,-11326.9248046875,7852.4453125
1163462400001040896,946.239990234375,-2480.04077148438,1420.82995605469,11.8218202590942,4309.31005859375,-11335.69140625,7353.4609375
1163462400001171968,1076.34802246094,-2497.8828125,1302.91870117188,5.91091012954712,4815.26171875,-11370.759765625,6801.951171875
1163462400001302016,1206.4560546875,-2527.61938476563,1185.00756835938,5.91091012954712,5295.04296875,-11388.2939453125,6206.6708984375
1163462400001432064,1330.65002441406,-2557.35620117188,1090.67858886719,5.91091012954712,5757.3779296875,-11397.060546875,5593.8828125
1163462400001562112,1448.93005371094,-2569.2509765625,984.558471679688,11.8218202590942,6245.8828125,-11423.361328125,4981.09423828125
1163462400001691904,1561.29602050781,-2581.1455078125,896.125061035156,5.91091012954712,6716.94091796875,-11414.5947265625,4385.81396484375
1163462400001822976,1661.833984375,-2581.1455078125,795.900573730469,-5.91091012954712,7187.9990234375,-11423.361328125,3808.04223632813
1163462400001953024,1756.4580078125,-2569.2509765625,701.571594238281,5.91091012954712,7641.61083984375,-11405.8271484375,3221.51611328125
1163462400002083072,1851.08203125,-2551.40893554688,607.24267578125,0.0,8069.05224609375,-11300.6240234375,2652.49829101563
1163462400002213120,1933.87805175781,-2515.72485351563,507.018127441406,5.91091012954712,8487.7705078125,-11221.720703125,2100.98876953125
1163462400002343936,2010.76000976563,-2474.09350585938,400.898071289063,0.0,8897.765625,-11116.517578125,1540.72509765625
1163462400002473984,2087.64208984375,-2414.6201171875,300.673553466797,0.0,9281.5908203125,-10993.7802734375,989.215576171875
1163462400002604032,2152.69604492188,-2343.251953125,188.657913208008,0.0,9647.9697265625,-10800.90625,437.705993652344
1163462400002734080,2200.00805664063,-2265.9365234375,76.6422805786133,0.0,9988.1787109375,-10572.9658203125,-105.049438476563
1163462400002864128,2241.40600585938,-2176.7265625,-29.4777984619141,0.0,10310.9404296875,-10292.4228515625,-621.54248046875
1163462400002994944,2276.88989257813,-2081.56909179688,-159.180114746094,0.0,10607.533203125,-9976.8115234375,-1129.28149414063
1163462400003124992,2312.3740234375,-1974.51684570313,-282.986877441406,0.0,10895.4013671875,-9617.3662109375,-1602.00390625
1163462400003255040,2341.94409179688,-1867.46472167969,-412.689178466797,5.91091012954712,11122.20703125,-9231.619140625,-2074.72631835938
1163462400003385088,2371.51391601563,-1748.51794433594,-548.287048339844,0.0,11209.4404296875,-8819.5712890625,-2564.95703125
1163462400003515904,2389.25610351563,-1629.57116699219,-683.884948730469,0.0,11226.88671875,-8416.291015625,-3055.18774414063
1163462400003645952,2418.82592773438,-1516.57165527344,-837.169494628906,0.0,11253.056640625,-7986.70947265625,-3589.18920898438
1163462400003776000,2460.22412109375,-1403.572265625,-972.767395019531,0.0,11279.2265625,-7513.29296875,-4131.9443359375
1163462400003906048,2483.88012695313,-1290.57275390625,-1114.2607421875,0.0,11287.9501953125,-6987.27490234375,-4665.94580078125
1163462400004036096,2531.19189453125,-1183.52062988281,-1249.85864257813,0.0,11314.1201171875,-6417.421875,-5173.68505859375
1163462400004166912,2554.84790039063,-1070.52124023438,-1367.76989746094,0.0,11340.2900390625,-5838.8017578125,-5628.89892578125
1163462400004296960,2578.50390625,-969.416442871094,-1503.36779785156,0.0,11340.2900390625,-5233.880859375,-6110.37548828125
1163462400004427008,2602.15991210938,-868.311645507813,-1615.38342285156,0.0,11375.18359375,-4620.19287109375,-6618.11474609375
1163462400004557056,2602.15991210938,-773.154174804688,-1727.39904785156,0.0,11375.18359375,-4024.0390625,-7090.8369140625
1163462400004687872,2602.15991210938,-666.10205078125,-1833.51904296875,0.0,11375.18359375,-3436.65209960938,-7563.5595703125
1163462400004817920,2584.41796875,-582.839294433594,-1921.95251464844,0.0,11349.013671875,-2893.10009765625,-7966.2490234375
1163462400004947968,2554.84790039063,-481.734527587891,-2010.38586425781,0.0,11218.1640625,-2323.2470703125,-8395.201171875
1163462400005078016,2513.44995117188,-374.682434082031,-2092.923828125,0.0,11113.484375,-1753.39392089844,-8815.3984375
1163462400005209088,2466.13793945313,-267.630310058594,-2163.67041015625,0.0,10991.3583984375,-1174.77392578125,-9218.087890625
1163462400005338880,2395.169921875,-160.578186035156,-2228.521484375,0.0,10834.3388671875,-596.153930664063,-9594.515625
1163462400005468928,2330.11596679688,-53.5260620117188,-2275.68603515625,0.0,10624.9794921875,-35.0678787231445,-9962.1884765625
1163462400005598976,2241.40600585938,53.5260620117188,-2328.74609375,0.0,10372.00390625,499.71728515625,-10286.0908203125
1163462400005729024,2152.69604492188,172.472854614258,-2358.22387695313,0.0,10084.134765625,1008.20153808594,-10618.7470703125
1163462400005860096,2052.15795898438,291.419647216797,-2387.70166015625,0.0,9743.92578125,1490.38488769531,-10898.87890625
1163462400005989888,1939.7919921875,410.366455078125,-2405.38842773438,0.0,9351.3779296875,1972.56823730469,-11126.486328125
1163462400006119936,1833.33996582031,535.260620117188,-2434.8662109375,0.0,8950.10546875,2454.75146484375,-11249.0439453125
1163462400006249984,1715.06005859375,666.10205078125,-2452.55297851563,0.0,8540.1103515625,2980.76977539063,-11275.306640625
1163462400006381056,1602.69396972656,796.943542480469,-2482.03076171875,-11.8218202590942,8103.94580078125,3498.02099609375,-11301.568359375
1163462400006511104,1496.24206542969,915.890380859375,-2511.50854492188,0.0,7641.61083984375,4050.34008789063,-11327.8310546875
1163462400006640896,1395.70397949219,1052.67919921875,-2540.986328125,0.0,7100.76611328125,4567.59130859375,-11362.84765625
1163462400006770944,1283.33801269531,1171.6259765625,-2576.35961914063,0.0,6559.92138671875,5049.7744140625,-11380.35546875
1163462400006900992,1182.80004882813,1302.46740722656,-2599.94189453125,0.0,5975.46044921875,5523.19091796875,-11389.1103515625
1163462400007032064,1088.17602539063,1421.41430664063,-2623.52416992188,0.0,5373.552734375,5961.53955078125,-11415.3720703125
1163462400007162112,993.552001953125,1540.36108398438,-2647.1064453125,0.0,4762.921875,6452.48974609375,-11432.880859375
1163462400007291904,898.927978515625,1647.41320800781,-2653.001953125,0.0,4178.46044921875,6890.83837890625,-11441.634765625
1163462400007421952,810.218017578125,1748.51794433594,-2653.001953125,0.0,3620.16943359375,7346.720703125,-11432.880859375
1163462400007553024,715.593994140625,1837.72802734375,-2641.21069335938,0.0,3053.15502929688,7802.60302734375,-11415.3720703125
1163462400007683072,620.970031738281,1932.88549804688,-2617.62866210938,0.0,2512.31030273438,8214.650390625,-11301.568359375
1163462400007813120,514.518005371094,2010.20092773438,-2582.25512695313,0.0,1954.01916503906,8652.9990234375,-11179.0107421875
1163462400007942912,408.066009521484,2093.46362304688,-2529.19506835938,-5.91091012954712,1395.72802734375,9047.5126953125,-11047.69921875
1163462400008072960,307.528015136719,2152.93701171875,-2470.23950195313,0.0,837.436767578125,9415.7255859375,-10907.6337890625
1163462400008204032,195.162002563477,2206.46313476563,-2387.70166015625,0.0,296.592193603516,9783.9384765625,-10706.2890625
1163462400008334080,76.8820037841797,2265.9365234375,-2305.16381835938,-5.91091012954712,-244.252395629883,10108.31640625,-10461.1728515625
1163462400008463872,-35.484001159668,2301.62060546875,-2210.8349609375,0.0,-758.927124023438,10415.16015625,-10224.8125
1163462400008593920,-153.764007568359,2337.3046875,-2110.6103515625,0.0,-1247.43188476563,10713.2373046875,-9874.6474609375
1163462400008724992,-283.872009277344,2355.14672851563,-2004.49035644531,-5.91091012954712,-1709.76684570313,10985.0126953125,-9515.728515625
1163462400008855040,-402.152008056641,2384.88330078125,-1892.47473144531,0.0,-2189.54833984375,11151.5849609375,-9130.546875
1163462400008985088,-538.174011230469,2408.67260742188,-1774.5634765625,0.0,-2686.7763671875,11195.419921875,-8736.611328125
1163462400009114880,-668.281982421875,2420.5673828125,-1650.75671386719,0.0,-3218.89770507813,11239.2548828125,-8333.921875
1163462400009244928,-810.218017578125,2438.40942382813,-1532.84558105469,0.0,-3751.01904296875,11265.5556640625,-7878.7080078125
1163462400009376000,-940.325988769531,2474.09350585938,-1409.03881835938,5.91091012954712,-4291.86376953125,11283.08984375,-7388.47705078125
1163462400009506048,-1070.43395996094,2503.830078125,-1302.91870117188,-5.91091012954712,-4806.5380859375,11291.857421875,-6828.21337890625
1163462400009636096,-1200.5419921875,2527.61938476563,-1185.00756835938,0.0,-5295.04296875,11309.390625,-6224.17919921875
1163462400009765888,-1324.73596191406,2551.40893554688,-1084.78295898438,5.91091012954712,-5766.10107421875,11326.9248046875,-5611.390625
1163462400009896960,-1443.01599121094,2575.1982421875,-990.454040527344,-5.91091012954712,-6245.8828125,11326.9248046875,-4989.84814453125
1163462400010027008,-1555.38195800781,2581.1455078125,-896.125061035156,5.91091012954712,-6716.94091796875,11353.2255859375,-4394.568359375
1163462400010157056,-1655.92004394531,2575.1982421875,-795.900573730469,0.0,-7196.72265625,11344.458984375,-3808.04223632813
1163462400010287104,-1756.4580078125,2575.1982421875,-701.571594238281,0.0,-7641.61083984375,11335.69140625,-3239.0244140625
1163462400010417920,-1845.16796875,2551.40893554688,-601.347106933594,0.0,-8069.05224609375,11230.48828125,-2661.25244140625
