Time µs,Current.Ia,Current.Ib,Current.Ic,Current.In,Voltage.Va,Voltage.Vb,Voltage.Vc
1163462400005208064,1338.42614746094,-373.406677246094,-934.393005371094,-11.8244600296021,10835.958984375,-819.409301757813,-9205.025390625
1163462400005338112,1302.89270019531,-331.917053222656,-969.876281738281,0.0,10695.80078125,-270.230712890625,-9554.3623046875
1163462400005467904,1267.35925292969,-290.427429199219,-993.531799316406,0.0,10520.603515625,244.079360961914,-9877.498046875
1163462400005597952,1219.9814453125,-254.864883422852,-1017.18731689453,0.0,10310.3662109375,723.52099609375,-10183.16796875
1163462400005729024,1166.68127441406,-195.593978881836,-1046.75671386719,0.0,10021.291015625,1159.376953125,-10427.7041015625
1163462400005859072,1113.38110351563,-142.25016784668,-1070.41223144531,-5.91223001480103,9653.3759765625,1569.08166503906,-10637.3056640625
1163462400005989120,1054.15869140625,-77.0521697998047,-1088.15393066406,0.0,9294.2216796875,1952.63488769531,-10846.908203125
1163462400006118912,994.936279296875,0.0,-1117.72326660156,0.0,8917.546875,2353.62255859375,-10899.30859375
1163462400006249984,929.791625976563,88.9063491821289,-1153.20654296875,-5.91223001480103,8505.8330078125,2780.76123046875,-10942.9755859375
1163462400006380032,864.647033691406,171.885620117188,-1182.77600097656,0.0,8085.359375,3216.61743164063,-11004.109375
1163462400006510080,793.580139160156,266.719055175781,-1212.34533691406,0.0,7586.046875,3669.90747070313,-11012.8427734375
1163462400006640128,734.357727050781,361.552490234375,-1253.74255371094,-5.91223001480103,7051.69482421875,4123.19775390625,-11065.2431640625
1163462400006769920,669.213073730469,456.385955810547,-1283.31188964844,-5.91223001480103,6473.54345703125,4620.07373046875,-11135.111328125
1163462400006900992,615.912963867188,539.365234375,-1318.79516601563,0.0,5869.11279296875,5143.10107421875,-11126.3779296875
1163462400007031040,562.61279296875,628.271545410156,-1348.36462402344,0.0,5264.681640625,5692.279296875,-11143.8447265625
1163462400007161088,515.23486328125,705.32373046875,-1377.93395996094,0.0,4651.49072265625,6232.74072265625,-11135.111328125
1163462400007290880,473.779174804688,770.521728515625,-1395.67565917969,0.0,4047.05981445313,6764.4853515625,-11108.9111328125
1163462400007420928,438.245758056641,835.7197265625,-1401.58947753906,0.0,3425.10888671875,7252.64404296875,-11082.7109375
1163462400007552000,402.712310791016,894.990600585938,-1413.41723632813,0.0,2820.67797851563,7723.36865234375,-11056.509765625
1163462400007682048,367.178863525391,930.553161621094,-1401.58947753906,-5.91223001480103,2216.2470703125,8141.7900390625,-11012.8427734375
1163462400007812096,331.645416259766,977.969848632813,-1389.76171875,-5.91223001480103,1629.33569335938,8542.77734375,-10951.708984375
1163462400007941888,302.034240722656,1025.38659667969,-1377.93395996094,-5.91223001480103,1042.42443847656,8926.3310546875,-10890.5751953125
1163462400008071936,260.578552246094,1055.02209472656,-1348.36462402344,-5.91223001480103,481.792816162109,9275.015625,-10777.041015625
1163462400008203008,230.967346191406,1084.65747070313,-1306.96740722656,-5.91223001480103,-96.3585662841797,9606.2666015625,-10628.572265625
1163462400008333056,195.43391418457,1108.36584472656,-1253.74255371094,0.0,-639.470458984375,9911.365234375,-10445.1708984375
1163462400008463104,153.978240966797,1132.07421875,-1212.34533691406,0.0,-1147.54296875,10181.5966796875,-10174.4345703125
1163462400008592896,112.522552490234,1149.85546875,-1153.20654296875,-5.91223001480103,-1603.05615234375,10390.8076171875,-9842.564453125
1163462400008722944,59.2223968505859,1167.63671875,-1105.8955078125,0.0,-2049.8095703125,10582.583984375,-9484.494140625
1163462400008854016,0.0,1197.27221679688,-1040.84289550781,0.0,-2470.283203125,10652.3212890625,-9100.2236328125
1163462400008984064,-65.1446380615234,1232.83471679688,-987.617919921875,-5.91223001480103,-2917.03662109375,10713.3408203125,-8681.01953125
