Time µs,Current.Ia,Current.Ib,Current.Ic,Voltage.Va,Voltage.Vb,Voltage.Vc
1133827200001235968,-875.244140625,-426.025390625,1335.44921875,-3112.79296875,-12988.28125,16174.31640625
1133827200001302016,-828.857421875,-473.6328125,1351.318359375,-2624.51171875,-13159.1796875,16076.66015625
1133827200001367040,-828.857421875,-473.6328125,1351.318359375,-2233.88671875,-13537.59765625,15893.5546875
1133827200001432064,-793.45703125,-535.888671875,1347.65625,-1782.2265625,-13671.875,15698.2421875
1133827200001496960,-793.45703125,-535.888671875,1347.65625,-1513.671875,-13964.84375,15612.79296875
1133827200001561984,-723.876953125,-577.392578125,1373.291015625,-1062.01171875,-14196.77734375,15405.2734375
1133827200001627008,-723.876953125,-577.392578125,1373.291015625,-671.38671875,-14404.296875,15283.203125
1133827200001692032,-666.50390625,-631.103515625,1372.0703125,-170.8984375,-14709.47265625,14904.78515625
1133827200001757056,-666.50390625,-631.103515625,1372.0703125,256.34765625,-14880.37109375,14807.12890625
1133827200001821952,-607.91015625,-671.38671875,1372.0703125,634.765625,-15075.68359375,14562.98828125
1133827200001888000,-607.91015625,-671.38671875,1372.0703125,1159.66796875,-15185.546875,14355.46875
1133827200001953024,-548.095703125,-716.552734375,1378.173828125,1342.7734375,-15429.6875,13928.22265625
1133827200002018048,-548.095703125,-716.552734375,1378.173828125,1940.91796875,-15539.55078125,13916.015625
1133827200002082944,-480.95703125,-731.201171875,1369.62890625,2282.71484375,-15515.13671875,13635.25390625
1133827200002147968,-480.95703125,-731.201171875,1369.62890625,2709.9609375,-15820.3125,13317.87109375
1133827200002212992,-412.59765625,-797.119140625,1369.62890625,3002.9296875,-16052.24609375,13073.73046875
1133827200002278016,-412.59765625,-797.119140625,1369.62890625,3527.83203125,-16186.5234375,12744.140625
1133827200002343040,-356.4453125,-849.609375,1346.435546875,4040.52734375,-16247.55859375,12524.4140625
1133827200002407936,-356.4453125,-849.609375,1346.435546875,4309.08203125,-16430.6640625,12231.4453125
1133827200002472960,-279.541015625,-892.333984375,1331.787109375,4760.7421875,-16503.90625,11938.4765625
1133827200002539008,-279.541015625,-892.333984375,1331.787109375,5139.16015625,-16638.18359375,11657.71484375
1133827200002604032,-216.064453125,-930.17578125,1324.462890625,5517.578125,-16674.8046875,11401.3671875
1133827200002669056,-216.064453125,-930.17578125,1324.462890625,5883.7890625,-16784.66796875,10913.0859375
1133827200002733952,-166.015625,-989.990234375,1275.634765625,6274.4140625,-16748.046875,10705.56640625
1133827200002798976,-166.015625,-989.990234375,1275.634765625,6616.2109375,-16845.703125,10302.734375
1133827200002864000,-89.111328125,-999.755859375,1258.544921875,7080.078125,-16894.53125,10009.765625
1133827200002929024,-89.111328125,-999.755859375,1258.544921875,7360.83984375,-16992.1875,9704.58984375
