Time µs,Current.Ia,Current.Ib,Current.Ic,Current.In,Voltage.Va,Voltage.Vb,Voltage.Vc
1125878400000000000,240.931030273438,-496.850616455078,219.149703979492,-0.0859532803297043,360.606292724609,-8256.7353515625,8687.5595703125
1125878400000130048,251.994186401367,-501.745697021484,195.888000488281,-0.125860154628754,833.124877929688,-8467.4921875,8414.5224609375
1125878400000259968,265.515838623047,-507.864562988281,171.402008056641,-0.171906560659409,1318.07824707031,-8752.634765625,8153.8955078125
1125878400000390016,276.578979492188,-510.312103271484,148.14030456543,-0.205673918128014,1753.29272460938,-9000.5849609375,7831.21484375
1125878400000519936,290.100616455078,-510.312103271484,124.878601074219,-0.233301758766174,2213.37670898438,-9198.9453125,7471.3017578125
1125878400000651008,302.393035888672,-510.312103271484,101.616905212402,-0.260929614305496,2648.59106445313,-9397.3046875,7111.38818359375
1125878400000781056,314.685424804688,-507.864562988281,78.3552017211914,-0.279348164796829,3083.8056640625,-9533.677734375,6714.24267578125
1125878400000910976,324.519348144531,-504.193237304688,57.5421028137207,-0.297766715288162,3519.02001953125,-9657.65234375,6341.9189453125
1125878400001041024,336.811737060547,-500.521942138672,35.5046997070313,-0.313115537166595,3966.66918945313,-9732.037109375,5982.00537109375
1125878400001170944,347.874908447266,-496.850616455078,14.6916007995605,-0.334603846073151,4414.318359375,-9744.4345703125,5572.44921875
1125878400001302016,355.250335693359,-489.507995605469,-7.34580039978027,-0.353022396564484,4861.9677734375,-9744.4345703125,5162.892578125
1125878400001432064,363.855010986328,-482.165374755859,-29.3832015991211,-0.371440976858139,5297.18212890625,-9732.037109375,4716.10400390625
1125878400001561984,371.23046875,-474.82275390625,-52.6449012756348,-0.392929285764694,5707.52734375,-9732.037109375,4281.72607421875
1125878400001692032,376.147430419922,-466.256378173828,-74.6823043823242,-0.405208319425583,6080.568359375,-9732.037109375,3797.70483398438
1125878400001821952,381.064392089844,-455.242462158203,-95.4953994750977,-0.417487353086472,6403.87060546875,-9670.0498046875,3313.68359375
1125878400001953024,384.752105712891,-438.109680175781,-116.308502197266,-0.420557111501694,6739.607421875,-9632.857421875,2767.6083984375
1125878400002082944,388.439819335938,-422.200653076172,-133.448699951172,-0.417487353086472,7062.90966796875,-9546.0751953125,2233.94409179688
1125878400002212992,389.669067382813,-403.844116210938,-151.813201904297,-0.405208319425583,7361.34228515625,-9434.4970703125,1687.86877441406
1125878400002343040,393.356781005859,-383.040008544922,-166.504806518555,-0.392929285764694,7622.47119140625,-9335.3173828125,1154.20434570313
1125878400002472960,393.356781005859,-363.459686279297,-181.196411132813,-0.368371218442917,7908.46923828125,-9174.150390625,632.950805664063
1125878400002604032,393.356781005859,-341.431823730469,-190.990798950195,-0.340743362903595,8132.2939453125,-9000.5849609375,124.108001708984
1125878400002733952,392.127532958984,-318.180206298828,-202.009506225586,-0.316185295581818,8380.98828125,-8814.6220703125,-384.734802246094
1125878400002864000,389.669067382813,-292.481048583984,-211.803909301758,-0.279348164796829,8604.8125,-8579.0703125,-893.577575683594
1125878400002994048,388.439819335938,-266.781860351563,-221.59831237793,-0.242511048913002,8853.5068359375,-8343.517578125,-1390.00964355469
1125878400003124992,384.752105712891,-239.858917236328,-231.392700195313,-0.205673918128014,9064.896484375,-8045.9775390625,-1874.03076171875
1125878400003255040,379.835144042969,-214.159759521484,-237.514205932617,-0.178046077489853,9251.4169921875,-7736.0400390625,-2308.40869140625
1125878400003384960,374.918182373047,-184.789276123047,-248.532897949219,-0.14734847843647,9462.806640625,-7388.91015625,-2780.01928710938
1125878400003515008,366.313507080078,-159.090103149414,-257.102996826172,-0.11972064524889,9587.1533203125,-7016.98486328125,-3189.57568359375
1125878400003645056,357.708831787109,-129.719619750977,-269.346008300781,-0.101302079856396,9699.06640625,-6682.25244140625,-3623.95361328125
1125878400003776000,351.562622070313,-102.796684265137,-280.364715576172,-0.0828835219144821,9773.673828125,-6310.32763671875,-4045.9208984375
1125878400003906048,342.957946777344,-78.3212814331055,-290.159118652344,-0.061395201832056,9823.4130859375,-5987.99267578125,-4467.88818359375
1125878400004035968,338.040985107422,-51.3983421325684,-302.402099609375,-0.0368371196091175,9835.84765625,-5554.080078125,-4877.4443359375
1125878400004166016,328.207061767578,-24.4754009246826,-312.196502685547,-0.015348800458014,9823.4130859375,-5194.552734375,-5274.58984375
1125878400004295936,319.602386474609,6.11885023117065,-326.888092041016,0.00306976004503667,9810.978515625,-4748.24267578125,-5684.146484375
1125878400004427008,308.539215087891,36.7131004333496,-339.131103515625,0.0214883200824261,9810.978515625,-4326.7275390625,-6019.23779296875
1125878400004557056,298.705291748047,67.3073501586914,-351.374114990234,0.03990688174963,9736.3701171875,-3843.22509765625,-6354.32958984375
1125878400004686976,286.412902832031,95.4540634155273,-361.168518066406,0.0460464023053646,9699.06640625,-3359.72241210938,-6677.01025390625
1125878400004817024,271.662017822266,124.82453918457,-372.187194824219,0.0552556812763214,9624.4580078125,-2814.232421875,-6999.69140625
1125878400004946944,254.452667236328,152.971252441406,-381.981597900391,0.0583254396915436,9524.98046875,-2293.53759765625,-7297.55029296875
1125878400005078016,233.555587768555,179.894195556641,-391.776000976563,0.0521859191358089,9400.6328125,-1748.04748535156,-7595.40966796875
1125878400005208064,215.116989135742,206.817138671875,-401.570404052734,0.0429766401648521,9288.720703125,-1239.75,-7868.447265625
1125878400005337984,192.990676879883,230.068771362305,-407.69189453125,0.0276278406381607,9114.634765625,-719.054992675781,-8104.25244140625
1125878400005468032,168.405868530273,252.096618652344,-412.589111328125,0.0122790401801467,8915.6796875,-173.565002441406,-8352.46875
1125878400005597952,141.362594604492,272.900726318359,-412.589111328125,-0.00920927990227938,8691.85546875,334.732513427734,-8575.8623046875
1125878400005729024,115.548553466797,291.257263183594,-415.037719726563,-0.0337673611938953,8455.595703125,855.427490234375,-8836.4892578125
1125878400005858944,88.5052795410156,310.837585449219,-417.486297607422,-0.0552556812763214,8157.1630859375,1351.32751464844,-9084.7060546875
1125878400005988992,62.6912384033203,326.74658203125,-413.813415527344,-0.0706044808030128,7833.86083984375,1822.43249511719,-9283.2783203125
1125878400006119040,36.877197265625,342.655609130859,-410.140502929688,-0.0828835219144821,7498.1240234375,2281.13989257813,-9481.8515625
1125878400006249984,14.7508792877197,357.340850830078,-405.243316650391,-0.0951625630259514,7125.0830078125,2752.2451171875,-9643.19140625
1125878400006380032,-8.60467910766602,367.131011962891,-397.897521972656,-0.101302079856396,6702.30322265625,3210.95239257813,-9754.888671875
1125878400006509952,-29.5017585754395,381.816253662109,-391.776000976563,-0.104371838271618,6329.26220703125,3682.0576171875,-9854.1748046875
