Time µs,Current.Ia,Current.Ib,Current.Ic,Current.In,Voltage.Va,Voltage.Vb,Voltage.Vc
1156032000000000000,201.356155395508,-2477.52368164063,2424.69067382813,0.0,394.194122314453,-10111.859375,10349.103515625
1156032000000130048,313.878723144531,-2524.9404296875,2341.896484375,0.0,928.546203613281,-10434.392578125,10087.1005859375
1156032000000260096,420.479034423828,-2566.42993164063,2259.10205078125,0.0,1445.37854003906,-10704.6240234375,9798.8974609375
1156032000000389888,538.923828125,-2613.8466796875,2152.65234375,0.0,1997.25024414063,-10905.1171875,9501.9609375
1156032000000519936,645.524108886719,-2649.40942382813,2058.0302734375,0.0,2566.64184570313,-11035.8740234375,9213.7587890625
1156032000000651008,763.968933105469,-2679.04467773438,1945.66650390625,0.0,3144.79321289063,-11105.611328125,8890.6220703125
1156032000000781056,876.491516113281,-2702.75317382813,1833.302734375,5.91223001480103,3705.4248046875,-11157.9140625,8523.818359375
1156032000000911104,983.091796875,-2732.388671875,1709.111328125,0.0,4213.4970703125,-11218.93359375,8078.4140625
1156032000001040896,1089.69213867188,-2756.09692382813,1584.91979980469,0.0,4677.7705078125,-11271.236328125,7580.60888671875
1156032000001170944,1208.13696289063,-2773.87817382813,1460.72827148438,0.0,5124.52392578125,-11297.3876953125,7047.8701171875
1156032000001302016,1320.65942382813,-2791.65942382813,1336.53686523438,0.0,5562.51708984375,-11253.8017578125,6488.93115234375
1156032000001432064,1439.10424804688,-2803.513671875,1212.34533691406,0.0,5991.7509765625,-11262.51953125,5912.525390625
1156032000001562112,1551.62683105469,-2815.36791992188,1088.15393066406,0.0,6429.744140625,-11236.3681640625,5309.91943359375
1156032000001691904,1664.1494140625,-2821.294921875,958.048522949219,0.0,6867.73779296875,-11166.630859375,4698.580078125
1156032000001821952,1770.74963378906,-2815.36791992188,833.857055664063,5.91223001480103,7305.7314453125,-11157.9140625,4069.77392578125
1156032000001953024,1871.427734375,-2815.36791992188,709.665588378906,5.91223001480103,7743.724609375,-11096.8935546875,3440.96752929688
1156032000002083072,1966.18359375,-2791.65942382813,597.301879882813,5.91223001480103,8172.95849609375,-11035.8740234375,2820.89477539063
1156032000002213120,2049.09497070313,-2756.09692382813,479.024261474609,5.91223001480103,8610.9521484375,-10974.8544921875,2200.82202148438
1156032000002342912,2126.083984375,-2708.68017578125,354.832794189453,0.0,9013.90625,-10896.400390625,1598.21594238281
1156032000002472960,2203.0732421875,-2655.33642578125,248.382949829102,0.0,9408.099609375,-10783.078125,1013.07678222656
1156032000002604032,2268.2177734375,-2590.13842773438,130.105361938477,0.0,9767.2548828125,-10634.88671875,427.937591552734
1156032000002734080,2321.51806640625,-2519.01342773438,5.91387987136841,0.0,10117.6494140625,-10434.392578125,-104.801040649414
1156032000002864128,2368.89599609375,-2424.17993164063,-118.27759552002,0.0,10459.2841796875,-10164.162109375,-663.739929199219
1156032000002993920,2416.27392578125,-2329.34643554688,-236.555191040039,0.0,10765.8798828125,-9867.7802734375,-1179.01171875
1156032000003124992,2445.88500976563,-2234.51293945313,-366.660552978516,0.0,11002.396484375,-9562.6806640625,-1711.75036621094
1156032000003255040,2481.41845703125,-2127.82543945313,-490.852020263672,0.0,11160.07421875,-9266.298828125,-2279.42260742188
1156032000003385088,2499.18530273438,-2015.21069335938,-609.129638671875,0.0,11212.6328125,-8969.9169921875,-2864.56176757813
1156032000003514880,2522.87426757813,-1902.59594726563,-733.321105957031,0.0,11247.6728515625,-8638.666015625,-3432.23413085938
1156032000003644928,2534.71850585938,-1772.19995117188,-857.512573242188,0.0,11308.9912109375,-8237.6787109375,-3956.23950195313
1156032000003776000,2558.40747070313,-1641.80395507813,-975.790161132813,0.0,11379.0703125,-7758.23681640625,-4445.31103515625
1156032000003906048,2570.251953125,-1511.40795898438,-1094.06774902344,-5.91223001480103,11422.8701171875,-7252.64404296875,-4890.71533203125
1156032000004036096,2582.09643554688,-1381.01196289063,-1224.17309570313,0.0,11466.6689453125,-6694.748046875,-5336.11962890625
1156032000004165888,2582.09643554688,-1250.61596679688,-1342.45068359375,0.0,11466.6689453125,-6154.28662109375,-5755.32421875
1156032000004295936,2593.94091796875,-1108.36584472656,-1472.55603027344,0.0,11361.55078125,-5535.37109375,-6226.9287109375
1156032000004427008,2593.94091796875,-977.969848632813,-1590.83374023438,0.0,11335.271484375,-4916.45556640625,-6663.599609375
1156032000004557056,2588.01879882813,-847.573913574219,-1703.19738769531,0.0,11282.7119140625,-4280.10595703125,-7100.27099609375
1156032000004687104,2570.251953125,-729.032104492188,-1815.56115722656,5.91223001480103,11230.15234375,-3643.75634765625,-7554.40869140625
1156032000004816896,2558.40747070313,-604.563171386719,-1910.18322753906,0.0,11160.07421875,-3042.27490234375,-7956.14599609375
1156032000004946944,2522.87426757813,-480.094299316406,-2016.63305664063,0.0,11072.4755859375,-2423.359375,-8392.8173828125
1156032000005078016,2481.41845703125,-361.552490234375,-2105.34130859375,0.0,10984.8759765625,-1813.16101074219,-8803.2880859375
1156032000005208064,2434.04052734375,-237.083602905273,-2194.04931640625,-5.91223001480103,10879.7578125,-1229.11389160156,-9205.025390625
1156032000005338112,2368.89599609375,-112.614715576172,-2265.01586914063,-5.91223001480103,10722.080078125,-662.501159667969,-9580.5625
1156032000005467904,2291.90673828125,5.92709016799927,-2335.98266601563,-5.91223001480103,10546.8828125,-104.605438232422,-9929.8994140625
1156032000005597952,2220.83984375,142.25016784668,-2395.12133789063,-5.91223001480103,10310.3662109375,435.856018066406,-10261.7685546875
1156032000005729024,2132.00634765625,266.719055175781,-2442.43237304688,-5.91223001480103,10047.5703125,967.600341796875,-10558.705078125
1156032000005859072,2037.25048828125,391.187957763672,-2483.82958984375,0.0,9749.734375,1508.06176757813,-10811.974609375
1156032000005989120,1936.57238769531,521.583923339844,-2519.31274414063,-5.91223001480103,9434.3798828125,2074.67456054688,-10986.642578125
1156032000006118912,1824.0498046875,651.979919433594,-2554.79614257813,-5.91223001480103,9101.5048828125,2650.00463867188,-11100.177734375
1156032000006249984,1717.44958496094,770.521728515625,-2584.36547851563,0.0,8768.6298828125,3225.33447265625,-11170.044921875
1156032000006380032,1593.08251953125,894.990600585938,-2619.84887695313,-5.91223001480103,8365.67578125,3765.7958984375,-11213.7119140625
1156032000006510080,1474.6376953125,1019.45953369141,-2643.50439453125,0.0,7910.162109375,4253.95458984375,-11274.845703125
1156032000006640128,1350.27062988281,1149.85546875,-2673.07373046875,0.0,7410.849609375,4698.52783203125,-11283.5791015625
1156032000006769920,1225.90368652344,1268.39733886719,-2696.72924804688,-5.91223001480103,6876.49755859375,5143.10107421875,-11301.0458984375
1156032000006900992,1101.53662109375,1398.79333496094,-2714.47094726563,-5.91223001480103,6324.6259765625,5578.95703125,-11292.3125
1156032000007031040,971.247314453125,1523.26220703125,-2732.21240234375,0.0,5737.71435546875,6006.095703125,-11266.1123046875
1156032000007161088,840.958068847656,1653.658203125,-2732.21240234375,-5.91223001480103,5133.28369140625,6450.6689453125,-11231.1787109375
1156032000007290880,722.513244628906,1772.19995117188,-2738.12646484375,0.0,4493.81298828125,6886.52490234375,-11196.2451171875
1156032000007420928,598.146240234375,1884.81469726563,-2726.29858398438,0.0,3845.58276367188,7339.81494140625,-11161.3115234375
1156032000007552000,479.701416015625,1997.42944335938,-2714.47094726563,-5.91223001480103,3197.35229492188,7775.67138671875,-11100.177734375
1156032000007682048,367.178863525391,2092.26293945313,-2696.72924804688,0.0,2557.8818359375,8202.810546875,-11039.04296875
1156032000007812096,254.656311035156,2187.09619140625,-2661.24584960938,0.0,1918.41137695313,8629.94921875,-10960.4423828125
1156032000007941888,148.055999755859,2270.07543945313,-2619.84887695313,0.0,1296.46069335938,9022.2197265625,-10864.375
1156032000008071936,29.611198425293,2347.12768554688,-2560.7099609375,-5.91223001480103,700.78955078125,9405.7724609375,-10724.640625
1156032000008203008,-71.0668792724609,2412.32568359375,-2501.5712890625,0.0,131.398040771484,9763.1748046875,-10558.705078125
1156032000008333056,-189.511672973633,2477.52368164063,-2430.60473632813,-5.91223001480103,-420.473754882813,10103.142578125,-10349.103515625
1156032000008463104,-302.034240722656,2536.79467773438,-2353.72412109375,-5.91223001480103,-928.546203613281,10408.2412109375,-10095.833984375
1156032000008592896,-402.712310791016,2578.2841796875,-2265.01586914063,-5.91223001480103,-1454.13830566406,10678.47265625,-9807.630859375
