Time µs,Current.Ia,Current.Ib,Current.Ic,Voltage.Va,Voltage.Vb,Voltage.Vc
1133827200000000000,-1199.951171875,-17.08984375,1090.087890625,-9887.6953125,-6921.38671875,17053.22265625
1133827200000065024,-1199.951171875,-17.08984375,1090.087890625,-9558.10546875,-7373.046875,17333.984375
1133827200000130048,-1141.357421875,-68.359375,1149.90234375,-9094.23828125,-7763.671875,17211.9140625
1133827200000194944,-1141.357421875,-68.359375,1149.90234375,-8850.09765625,-8337.40234375,17187.5
1133827200000259968,-1124.267578125,-128.173828125,1177.978515625,-8325.1953125,-8544.921875,17224.12109375
1133827200000324992,-1124.267578125,-128.173828125,1177.978515625,-8227.5390625,-8911.1328125,17089.84375
1133827200000390016,-1083.984375,-185.546875,1225.5859375,-7617.1875,-9216.30859375,17187.5
1133827200000455040,-1083.984375,-185.546875,1225.5859375,-7177.734375,-9655.76171875,17138.671875
1133827200000519936,-1046.142578125,-228.271484375,1252.44140625,-6884.765625,-10009.765625,17102.05078125
1133827200000584960,-1046.142578125,-228.271484375,1252.44140625,-6640.625,-10375.9765625,17053.22265625
1133827200000651008,-1003.41796875,-285.64453125,1290.283203125,-6115.72265625,-10644.53125,17016.6015625
1133827200000716032,-1003.41796875,-285.64453125,1290.283203125,-5834.9609375,-10974.12109375,17028.80859375
1133827200000781056,-963.134765625,-338.134765625,1306.15234375,-5407.71484375,-11267.08984375,16906.73828125
1133827200000845952,-963.134765625,-338.134765625,1306.15234375,-5041.50390625,-11706.54296875,16748.046875
1133827200000910976,-920.41015625,-400.390625,1320.80078125,-4504.39453125,-11877.44140625,16687.01171875
1133827200000976000,-920.41015625,-400.390625,1320.80078125,-4309.08203125,-12316.89453125,16564.94140625
1133827200001041024,-871.58203125,-435.791015625,1351.318359375,-3808.59375,-12487.79296875,16564.94140625
1133827200001106048,-871.58203125,-435.791015625,1351.318359375,-3491.2109375,-12756.34765625,16430.6640625
1133827200001170944,-825.1953125,-498.046875,1364.74609375,-3015.13671875,-13073.73046875,16308.59375
1133827200001235968,-825.1953125,-498.046875,1364.74609375,-2661.1328125,-13269.04296875,16174.31640625
1133827200001302016,-786.1328125,-548.095703125,1369.62890625,-2209.47265625,-13647.4609375,15905.76171875
1133827200001367040,-786.1328125,-548.095703125,1369.62890625,-1843.26171875,-13793.9453125,15710.44921875
1133827200001432064,-720.21484375,-599.365234375,1373.291015625,-1379.39453125,-14062.5,15478.515625
1133827200001496960,-720.21484375,-599.365234375,1373.291015625,-927.734375,-14184.5703125,15295.41015625
1133827200001561984,-665.283203125,-633.544921875,1387.939453125,-610.3515625,-14526.3671875,15197.75390625
1133827200001627008,-665.283203125,-633.544921875,1387.939453125,-134.27734375,-14587.40234375,14953.61328125
1133827200001692032,-614.013671875,-698.2421875,1384.27734375,231.93359375,-14904.78515625,14807.12890625
1133827200001757056,-614.013671875,-698.2421875,1384.27734375,476.07421875,-15014.6484375,14575.1953125
1133827200001821952,-538.330078125,-729.98046875,1403.80859375,1013.18359375,-15197.75390625,14440.91796875
1133827200001888000,-538.330078125,-729.98046875,1403.80859375,1562.5,-15429.6875,14123.53515625
1133827200001953024,-493.1640625,-786.1328125,1373.291015625,1867.67578125,-15490.72265625,13867.1875
1133827200002018048,-493.1640625,-786.1328125,1373.291015625,2307.12890625,-15661.62109375,13476.5625
1133827200002082944,-407.71484375,-821.533203125,1369.62890625,2734.375,-15893.5546875,13317.87109375
1133827200002147968,-407.71484375,-821.533203125,1369.62890625,3100.5859375,-16088.8671875,12927.24609375
1133827200002212992,-373.53515625,-882.568359375,1350.09765625,3625.48828125,-16027.83203125,12817.3828125
1133827200002278016,-373.53515625,-882.568359375,1350.09765625,3967.28515625,-16369.62890625,12426.7578125
1133827200002343040,-288.0859375,-911.865234375,1331.787109375,4406.73828125,-16357.421875,12231.4453125
1133827200002407936,-288.0859375,-911.865234375,1331.787109375,4809.5703125,-16540.52734375,11901.85546875
1133827200002472960,-211.181640625,-954.58984375,1323.2421875,5175.78125,-16601.5625,11462.40234375
1133827200002539008,-211.181640625,-954.58984375,1323.2421875,5603.02734375,-16735.83984375,11267.08984375
1133827200002604032,-164.794921875,-998.53515625,1300.048828125,5957.03125,-16821.2890625,10961.9140625
1133827200002669056,-164.794921875,-998.53515625,1300.048828125,6311.03515625,-16894.53125,10668.9453125
1133827200002733952,-98.876953125,-1041.259765625,1264.6484375,6713.8671875,-16870.1171875,10351.5625
1133827200002798976,-98.876953125,-1041.259765625,1264.6484375,7275.390625,-16955.56640625,9985.3515625
1133827200002864000,-30.517578125,-1064.453125,1234.130859375,7482.91015625,-17041.015625,9692.3828125
1133827200002929024,-30.517578125,-1064.453125,1234.130859375,7910.15625,-17053.22265625,9179.6875
1133827200002994048,28.076171875,-1103.515625,1192.626953125,8325.1953125,-17077.63671875,8947.75390625
1133827200003058944,28.076171875,-1103.515625,1192.626953125,8666.9921875,-17175.29296875,8544.921875
1133827200003124992,76.904296875,-1148.681640625,1147.4609375,9008.7890625,-17102.05078125,8178.7109375
1133827200003190016,76.904296875,-1148.681640625,1147.4609375,9228.515625,-17065.4296875,7836.9140625
1133827200003255040,155.029296875,-1160.888671875,1115.72265625,9729.00390625,-17077.63671875,7434.08203125
1133827200003320064,155.029296875,-1160.888671875,1115.72265625,10046.38671875,-16943.359375,7092.28515625
1133827200003384960,207.51953125,-1192.626953125,1066.89453125,10388.18359375,-16943.359375,6726.07421875
1133827200003449984,207.51953125,-1192.626953125,1066.89453125,10717.7734375,-16955.56640625,6323.2421875
1133827200003515008,255.126953125,-1212.158203125,1018.06640625,11035.15625,-16870.1171875,5920.41015625
1133827200003580032,255.126953125,-1212.158203125,1018.06640625,11401.3671875,-16735.83984375,5407.71484375
1133827200003645056,313.720703125,-1224.365234375,964.35546875,11804.19921875,-16638.18359375,5078.125
1133827200003709952,313.720703125,-1224.365234375,964.35546875,11950.68359375,-16674.8046875,4602.05078125
1133827200003776000,363.76953125,-1243.896484375,915.52734375,12316.89453125,-16516.11328125,4345.703125
1133827200003841024,363.76953125,-1243.896484375,915.52734375,12634.27734375,-16357.421875,3930.6640625
1133827200003906048,427.24609375,-1248.779296875,876.46484375,12915.0390625,-16247.55859375,3576.66015625
1133827200003970944,427.24609375,-1248.779296875,876.46484375,13195.80078125,-16162.109375,3088.37890625
1133827200004035968,479.736328125,-1267.08984375,808.10546875,13439.94140625,-15966.796875,2722.16796875
1133827200004100992,479.736328125,-1267.08984375,808.10546875,13684.08203125,-15856.93359375,2233.88671875
1133827200004166016,534.66796875,-1258.544921875,755.615234375,13940.4296875,-15649.4140625,1782.2265625
1133827200004231040,534.66796875,-1258.544921875,755.615234375,14184.5703125,-15466.30859375,1477.05078125
1133827200004295936,583.49609375,-1264.6484375,692.138671875,14343.26171875,-15283.203125,964.35546875
1133827200004360960,583.49609375,-1264.6484375,692.138671875,14660.64453125,-15026.85546875,671.38671875
1133827200004427008,637.20703125,-1258.544921875,628.662109375,14770.5078125,-14831.54296875,146.484375
1133827200004492032,637.20703125,-1258.544921875,628.662109375,15112.3046875,-14685.05859375,-231.93359375
1133827200004557056,676.26953125,-1259.765625,567.626953125,15185.546875,-14392.08984375,-598.14453125
1133827200004621952,676.26953125,-1259.765625,567.626953125,15356.4453125,-14135.7421875,-1049.8046875
1133827200004686976,734.86328125,-1246.337890625,504.150390625,15490.72265625,-13977.05078125,-1538.0859375
1133827200004752000,734.86328125,-1246.337890625,504.150390625,15771.484375,-13635.25390625,-2014.16015625
1133827200004817024,781.25,-1239.013671875,438.232421875,15917.96875,-13305.6640625,-2429.19921875
1133827200004882048,781.25,-1239.013671875,438.232421875,16040.0390625,-13134.765625,-2807.6171875
1133827200004946944,817.87109375,-1223.14453125,371.09375,16271.97265625,-12817.3828125,-3247.0703125
1133827200005012992,817.87109375,-1223.14453125,371.09375,16308.59375,-12548.828125,-3637.6953125
1133827200005078016,872.802734375,-1206.0546875,305.17578125,16503.90625,-12243.65234375,-4077.1484375
1133827200005143040,872.802734375,-1206.0546875,305.17578125,16589.35546875,-12011.71875,-4467.7734375
1133827200005208064,926.513671875,-1176.7578125,236.81640625,16784.66796875,-11694.3359375,-4870.60546875
1133827200005272960,926.513671875,-1176.7578125,236.81640625,16857.91015625,-11437.98828125,-5261.23046875
1133827200005337984,958.251953125,-1166.9921875,169.677734375,16943.359375,-11157.2265625,-5700.68359375
1133827200005403008,958.251953125,-1166.9921875,169.677734375,17028.80859375,-10827.63671875,-6066.89453125
1133827200005468032,1013.18359375,-1119.384765625,112.3046875,17004.39453125,-10656.73828125,-6579.58984375
1133827200005533056,1013.18359375,-1119.384765625,112.3046875,17309.5703125,-10168.45703125,-6860.3515625
1133827200005597952,1049.8046875,-1098.6328125,37.841796875,17272.94921875,-9851.07421875,-7250.9765625
1133827200005664000,1049.8046875,-1098.6328125,37.841796875,17382.8125,-9558.10546875,-7678.22265625
1133827200005729024,1092.529296875,-1040.0390625,-17.08984375,17456.0546875,-9167.48046875,-8020.01953125
1133827200005794048,1092.529296875,-1040.0390625,-17.08984375,17504.8828125,-8874.51171875,-8349.609375
1133827200005858944,1121.826171875,-1025.390625,-89.111328125,17443.84765625,-8520.5078125,-8703.61328125
1133827200005923968,1121.826171875,-1025.390625,-89.111328125,17456.0546875,-8142.08984375,-9265.13671875
1133827200005988992,1175.537109375,-960.693359375,-141.6015625,17517.08984375,-7812.5,-9533.69140625
